school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,0000_8075,Salam School,Private,962,K-12,Exceeds Expectations,78,FALSE,54.1,79.3,74.5,84,222,219,0.38144329896907214,0.37628865979381443
2023-24,0000_1048,Tamarack Waldorf School,Private,167,K-8,Exceeds Expectations,78,FALSE,48.5,79.2,NA,85.7,31,11,0.3229166666666667,0.11458333333333333
2023-24,3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,509,K-8,Exceeds Expectations,77.9,FALSE,43.3,86,74.4,73.9,109,97,0.3732876712328767,0.3321917808219178
2023-24,0000_1095,Notre Dame School of Milwaukee,Private,469,K-8,Exceeds Expectations,77.5,FALSE,58.1,76.5,79.3,81.5,139,152,0.4982078853046595,0.5448028673835126
2023-24,0000_1221,King's Academy Christian School Inc,Private,142,K-8,Exceeds Expectations,77,FALSE,34.9,87.8,70.9,72.1,39,28,0.3939393939393939,0.2828282828282828
2023-24,3619_0158,Fernwood Montessori,Traditional Public,772,K-8,Exceeds Expectations,76.8,FALSE,64.5,81.2,81.1,85.8,291,209,0.6961722488038278,0.5
2023-24,0000_2850,Saint John Paul II School,Private,174,K-8,Exceeds Expectations,76.8,FALSE,36.3,83.1,72.2,78.3,39,35,0.3577981651376147,0.3211009174311927
2023-24,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,478,K-8,Exceeds Expectations,76.3,FALSE,36.9,84.1,73.2,73.4,76,75,0.28044280442804426,0.2767527675276753
2023-24,0000_2750,Saint Adalbert School,Private,401,K-8,Exceeds Expectations,76.3,FALSE,39,86,68.4,74.1,84,77,0.32684824902723736,0.29961089494163423
2023-24,0000_1776,The City School,Private,179,K-8,Exceeds Expectations,76.3,FALSE,18.1,82.2,78.3,75.5,13,20,0.125,0.19230769230769232
